Eviction ID,Address,City,State,Year,Eviction Notice Source Zipcode,File Date,Non Payment,Breach,Nuisance,Illegal Use,Failure to Sign Renewal,Access Denial,Unapproved Subtenant,Owner Move In,Demolition,Capital Improvement,Substantial Rehab,Ellis Act WithDrawal,Condo Conversion,Roommate Same Unit,Other Cause,Late Payments,Lead Remediation,Development,Good Samaritan Ends,Constraints Date,Supervisor District,Neighborhoods - Analysis Boundaries,Location,Reason
M150514,500 Block Of Capitol  Avenue,San Francisco,CA,2015,94112,03/13/2015,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,11,Oceanview/Merced/Ingleside,"(37.7153326956088, -122.459119638025)",Non Payment
M150306,500 Block Of Post  Street,San Francisco,CA,2015,94102,02/20/2015,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,,3,Tenderloin,"(37.787922952493, -122.410867072873)",Failure to Sign Renewal
M120029,1700 Block Of Page  Street,San Francisco,CA,2012,94117,01/19/2012,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,,,5,Haight Ashbury,"(37.7705708884757, -122.449576608139)",Owner Move In
M140363,100 Block Of Font  Boulevard,San Francisco,CA,2014,94132,02/20/2014,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,7,Lakeshore,"(37.715545052959, -122.473629919957)",Breach
M150298,100 Block Of Crespi  Drive,San Francisco,CA,2015,94132,02/20/2015,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,7,Lakeshore,"(37.7191099622177, -122.47711636708)",Breach
M151730,1500 Block Of Fulton  Street,San Francisco,CA,2015,94117,07/10/2015,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,5,Lone Mountain/USF,"(37.7763847738943, -122.442321333639)",Non Payment
M151512,700 Block Of Presidio  Avenue,San Francisco,CA,2015,94115,06/15/2015,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,,,2,Presidio Heights,"(37.7849123608206, -122.446266007574)",Late Payments
M120805,400 Block Of 38th  Avenue,San Francisco,CA,2012,94121,05/24/2012,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,1,Outer Richmond,"(37.7798083706418, -122.498758568165)",Breach
M153275,2000 Block Of Broadway  Street,San Francisco,CA,2015,94115,11/30/2015,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,Nuisance
M121103,1000 Block Of Goettingen  Street,San Francisco,CA,2012,94134,07/19/2012,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,,,10,Portola,"(37.7190814713159, -122.40325441751)",Other Cause
M131742,100 Block Of 14th  Street,San Francisco,CA,2013,94110,09/03/2013,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,9,Mission,"(37.7683835525144, -122.417249515518)",Nuisance
M142645,2300 Block Of Leavenworth  Street,San Francisco,CA,2014,94133,12/03/2014,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,,,2,Russian Hill,"(37.8026768741201, -122.417990274048)",Condo Conversion
M121211,100 Block Of Cook  Street,San Francisco,CA,2012,94118,08/06/2012,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,1,Lone Mountain/USF,"(37.7811643494204, -122.452074517886)",Breach
M153448,1000 Block Of Filbert  Street,San Francisco,CA,2015,94133,12/21/2015,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,,,2,Russian Hill,"(37.8004754619782, -122.416957485404)",Access Denial
M140181,100 Block Of Vernon  Street,San Francisco,CA,2014,94132,01/31/2014,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,,,11,Oceanview/Merced/Ingleside,"(37.7151841544955, -122.468075466509)",Multiple
M151657,300 Block Of Harvard  Street,San Francisco,CA,2015,94134,06/22/2015,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,,06/13/2018,9,Excelsior,"(37.7253273079276, -122.420057530764)",Owner Move In
M110587,2200 Block Of Greenwich  Street,San Francisco,CA,2011,94123,04/07/2011,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,2,Marina,"(37.7987927968087, -122.43667938504)",Nuisance
