eviction_id,address,zip,file date,year,reason,latitude,longitude,supervisor_district,neighborhood
M151094,600 Block of 9th Avenue,94118,5/8/15,2015,Owner Move In,37.77615847,-122.4670843,1,Inner Richmond
M151142,400 Block of Greenwich Street,94133,5/8/15,2015,Ellis Act WithDrawal,37.80259264,-122.4076985,3,North Beach
M151144,500 Block of Chestnut Street,94133,5/8/15,2015,Ellis Act WithDrawal,37.8039396,-122.4122264,3,North Beach
M151143,400 Block of Greenwich Street,94133,5/8/15,2015,Ellis Act WithDrawal,37.80259264,-122.4076985,3,North Beach
M151093,400 Block of Vallejo Street,94133,5/8/15,2015,Owner Move In,37.79908106,-122.4043319,3,North Beach
M151133,1800 Block of Larkin Street,94115,5/7/15,2015,Nuisance,37.79478682,-122.4199125,3,Russian Hill
M151132,100 Block of Bartlett Street,94110,5/7/15,2015,Nuisance,37.75457187,-122.4197127,9,Mission
M151134,3300 Block of Clay Street,94118,5/7/15,2015,Demolition,37.78890972,-122.4479809,2,Presidio Heights
M151123,3400 Block of 16th Street,94114,5/7/15,2015,Breach,37.76434186,-122.4304948,8,Castro/Upper Market
M151105,400 Block of Hyde Street,94109,5/6/15,2015,Breach,37.78490368,-122.416234,6,Tenderloin
M151112,1300 Block of California Street,94109,5/6/15,2015,Non Payment,37.7911188,-122.416758,3,Nob Hill
M151155,1200 Block of 38th Avenue,94122,5/6/15,2015,Other Cause,37.76360744,-122.497481,4,Sunset/Parkside
M151141,1600 Block of Grove Street,94117,5/6/15,2015,Other Cause,37.77524505,-122.4437801,5,Lone Mountain/USF
M151106,0 Block of Buchanan Street,94102,5/6/15,2015,Illegal Use,37.7700779,-122.4265928,8,Hayes Valley
M151110,0 Block of Pinehurst Way,94127,5/6/15,2015,Other Cause,37.72756858,-122.4653957,7,West of Twin Peaks
M151108,1100 Block of Jamestown Avenue,94124,5/6/15,2015,Demolition,37.7199392,-122.3959841,10,Bayview Hunters Point
M151111,100 Block of Jones Street,94102,5/6/15,2015,Nuisance,37.78252974,-122.4123845,6,Tenderloin
M151116,700 Block of Tehama Street,94103,5/6/15,2015,Nuisance,37.77514043,-122.4117995,6,South of Market
M151091,3700 Block of 26th Street,94110,5/6/15,2015,Owner Move In,37.74862338,-122.4242572,8,Mission
M151107,1100 Block of Larkin Street,94109,5/6/15,2015,Breach,37.78820802,-122.4184438,3,Nob Hill
M151092,3700 Block of 26th Street,94110,5/6/15,2015,Owner Move In,37.74862338,-122.4242572,8,Mission
M151101,3300 Block of Cesar Chavez Street,94110,5/5/15,2015,Non Payment,37.7480783,-122.4170382,9,Bernal Heights
M151099,1200 Block of Hayes Street,94117,5/5/15,2015,Non Payment,37.77515317,-122.4369749,5,Hayes Valley
M151089,3900 Block of 19th Street,94114,5/5/15,2015,Owner Move In,37.75954515,-122.4315343,8,Castro/Upper Market
M151088,0 Block of Norton Street,94112,5/5/15,2015,Owner Move In,37.72495727,-122.4357803,11,Outer Mission
M151102,400 Block of Hyde Street,94109,5/5/15,2015,Illegal Use,37.78490368,-122.416234,6,Tenderloin
M151103,0 Block of Canyon Drive,94112,5/5/15,2015,Other Cause,37.70909263,-122.4313371,11,Excelsior
M151090,700 Block of Broderick Street,94117,5/5/15,2015,Owner Move In,37.77710704,-122.440004,5,Western Addition
M151104,0 Block of Buchanan Street,94102,5/5/15,2015,Breach,37.7700779,-122.4265928,8,Hayes Valley
